a1_a,a1_b,a1_c,a2,a5_bdh,a5_byr,a5_bmfs1,a5_bmfs2,a5_mdh,a5_myr,a5_mmfs1,a5_mmfs2,a15,a17a_ths,a17b_ths,a17c_ths,a17d_ths,a17e_ths,a17f_ths,a17g_ths,b1_a,b1_b,b1_c,b2_a,b2_b,b2_c,b2_d,b2_e,b5_a,b5_b,b5_c,b5_d,b5_e,c1,c5,d1,d2,d4_recode1,d4_recode2,d4_recode3,d5_age,classid,tfa_teacher,mprid,schoolid,blockid,grade,treatment,bilingual,cscurr,dob,gender,race,hispanic,freelunch,absentdays,suspensions,suspdays,tstform,ge_r,ge_m,ss_r,ss_m,npr_r,npr_m,spanish,pretstform,prege_r,prege_m,press_r,press_m,prenpr_r,prenpr_m,prespanish
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033370,614,9,4,0,0,27,06/25/1993,M,White,Yes,No,0,,,L,061,048,218,200,75,50,0,K,051,046,204,196,71,62,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033420,614,9,4,0,0,27,01/21/1993,M,White,Yes,Yes,4,,,L,086,048,248,200,97,50,0,K,043,048,193,201,55,71,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1034090,614,9,4,0,0,27,04/14/1993,M,White,Yes,Yes,1,,,L,048,034,200,177,50,17,0,K,035,029,180,170,34,19,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033460,614,9,4,0,0,27,07/09/1993,M,White,Yes,Yes,7,,,L,043,043,193,193,39,38,0,K,038,031,185,173,43,23,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1034210,614,9,4,0,0,27,06/05/1992,M,White,Yes,Yes,0,,,L,017,028,149,169,1,9,0,K,017,034,147,178,1,32,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1034230,614,9,4,0,0,27,10/01/1991,M,White,Yes,Yes,22,,,L,035,038,180,186,21,27,0,K,031,043,173,192,23,55,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1124000,614,9,4,0,0,27,03/28/1993,M,White,Yes,Yes,0,,,L,045,043,196,193,43,38,0,K,036,026,182,162,37,10,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1034040,614,9,4,0,0,27,06/08/1993,F,White,Yes,Yes,1,,,L,045,037,196,183,43,24,0,K,031,026,173,162,23,10,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033780,614,9,4,0,0,27,09/18/1991,M,White,Yes,Yes,,,,L,030,038,171,186,12,27,0,K,020,033,154,176,5,28,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033790,614,9,4,0,0,27,12/28/1992,F,White,Yes,Yes,1,,,L,043,071,193,229,39,86,0,K,035,046,180,196,34,62,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090990,416,31,3,0,0,15,01/24/1994,M,Black,No,Yes,1,,,L,039,034,186,177,51,36,0,K,023,024,161,159,26,21,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090470,416,31,3,0,0,15,12/23/1993,F,Black,No,Yes,7,,,L,035,032,180,174,40,30,0,K,033,025,177,161,56,25,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090360,416,31,3,0,0,15,05/04/1994,F,Black,No,Yes,6,,,L,033,026,178,164,37,15,0,K,022,026,159,165,22,32,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090850,416,31,3,0,0,15,07/24/1993,M,Black,No,Yes,2,,,L,030,027,172,166,27,18,0,K,026,025,165,161,33,25,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090680,416,31,3,0,0,15,02/28/1993,M,Black,No,Yes,6,,,L,028,029,168,170,21,23,0,K,029,020,170,153,42,13,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090610,416,31,3,0,0,15,10/31/1992,M,Black,No,Yes,6,,,L,021,026,156,164,8,15,0,K,016,017,146,149,6,9,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090220,416,31,3,0,0,15,11/03/1993,M,Black,No,Yes,5,,,L,029,027,169,166,22,18,0,K,021,026,157,165,19,32,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090200,416,31,3,0,0,15,11/22/1993,F,Black,No,Yes,1,,,L,023,026,161,162,13,13,0,K,016,016,144,146,5,6,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1089970,416,31,3,0,0,15,06/29/1993,M,Black,No,Yes,5,,,L,016,013,144,141,1,1,0,K,015,016,142,146,3,6,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090500,416,31,3,0,0,15,01/22/1992,M,Black,No,Yes,15,,,L,015,026,141,162,1,13,0,K,016,019,146,151,6,11,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090390,416,31,3,0,0,15,01/02/1994,M,Black,No,Yes,2,,,L,035,038,180,185,40,50,0,K,022,019,159,151,22,11,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090180,416,31,3,0,0,15,03/31/1993,M,Black,No,Yes,3,,,L,021,025,156,160,8,11,0,K,021,025,157,161,19,25,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090350,416,31,3,0,0,15,01/12/1994,F,Black,No,Yes,1,,,L,037,035,184,179,48,39,0,K,031,028,173,168,48,39,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1089780,416,31,3,0,0,15,06/26/1992,F,Black,No,Yes,2,,,L,030,024,172,158,27,9,0,K,026,020,165,153,33,13,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091570,416,31,3,0,0,15,11/03/1993,M,Black,No,Yes,2,,,L,041,038,189,185,57,50,0,K,029,030,170,172,42,48,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091200,416,31,3,0,0,15,09/10/1993,M,Black,No,Yes,0,,,L,022,028,158,168,10,20,0,K,020,014,154,143,15,4,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1090890,416,31,3,0,0,15,01/09/1994,F,Black,No,Yes,15,,,L,025,026,164,164,16,15,0,K,022,020,159,153,22,13,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091380,416,31,3,0,0,15,09/12/1991,M,Black,No,Yes,4,,,L,023,026,161,164,13,15,0,K,020,014,154,143,15,4,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091400,416,31,3,0,0,15,06/25/1993,M,Black,No,Yes,3,,,L,018,028,150,168,4,20,0,K,017,012,148,140,8,3,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091760,416,31,3,0,0,15,11/20/1993,F,Black,No,Yes,3,,,L,023,032,160,174,12,30,0,K,027,034,167,178,36,60,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091130,416,31,3,0,0,15,11/14/1993,M,Black,No,Yes,8,,,L,035,038,180,185,40,50,0,K,029,026,170,163,42,28,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1089770,416,31,3,0,0,15,09/08/1992,M,Black,No,Yes,5,,,L,016,016,144,147,1,2,0,K,014,019,140,151,2,11,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091020,416,31,3,0,0,15,03/02/1994,F,Black,No,Yes,7,,,L,027,024,167,158,20,9,0,K,016,020,144,153,5,13,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091790,416,31,3,0,0,15,09/14/1993,F,Black,No,Yes,0,,,L,021,025,156,160,8,11,0,K,019,023,152,157,12,18,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1090960,416,31,3,0,0,15,01/12/1994,F,Black,No,Yes,4,,,L,017,017,148,149,3,3,0,K,011,022,133,155,1,15,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1092840,416,31,3,1,0,16,02/04/1994,F,Black,No,Yes,5,,,L,023,026,160,164,12,15,0,K,021,014,155,143,16,4,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091970,416,31,3,1,0,16,12/03/1993,M,Black,No,Yes,0,,,L,029,035,169,179,22,39,0,K,025,026,164,163,31,28,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091720,416,31,3,1,0,16,05/22/1993,M,Black,No,Yes,0,,,L,022,038,158,185,10,50,0,K,019,022,152,155,12,15,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1092130,416,31,3,1,0,16,08/09/1994,F,Black,No,Yes,1,,,L,030,032,171,174,25,30,0,K,029,012,170,140,42,3,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091880,416,31,3,1,0,16,01/02/1993,M,Black,No,Yes,12,,,L,015,019,141,151,1,4,0,K,014,010,140,134,2,1,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1092630,416,31,3,1,0,16,03/14/1994,F,Black,No,Yes,1,,,L,032,032,176,174,33,30,0,K,026,025,165,161,33,25,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1092020,416,31,3,1,0,16,03/05/1994,M,Black,No,Yes,0,,,L,028,030,168,172,21,26,0,K,024,027,162,167,27,37,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091830,416,31,3,1,0,16,03/21/1994,M,Black,No,Yes,1,,,L,013,024,137,158,1,9,0,K,011,019,133,151,1,11,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091930,416,31,3,1,0,16,11/18/1993,M,Black,No,Yes,2,,,L,026,032,165,174,17,30,0,K,027,028,167,168,36,39,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091920,416,31,3,1,0,16,08/20/1993,M,Black,No,Yes,2,,,L,025,028,164,168,16,20,0,K,021,026,157,165,19,32,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1091660,416,31,3,1,0,16,08/20/1993,M,Black,No,Yes,1,,,L,017,024,148,158,3,9,0,K,015,017,142,149,3,9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093180,416,31,3,1,0,17,12/10/1993,M,Black,No,Yes,5,,,L,029,035,169,179,22,39,0,K,021,024,155,159,16,21,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092110,416,31,3,1,0,17,01/13/1994,M,Black,No,Yes,4,,,L,023,030,160,172,12,26,0,K,023,020,161,153,26,13,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1089760,416,31,3,1,0,17,09/06/1992,F,Black,No,Yes,11,,,L,036,025,182,160,44,11,0,K,027,019,167,151,36,11,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092450,416,31,3,1,0,17,12/29/1993,M,Black,No,Yes,2,,,L,025,026,164,162,16,13,0,K,024,022,162,155,27,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092680,416,31,3,1,0,17,02/18/1992,M,Black,No,Yes,2,,,L,016,026,146,164,2,15,0,K,011, K9,133,131,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093010,416,31,3,1,0,17,09/10/1993,F,Black,No,Yes,8,,,L,037,030,184,172,48,26,0,K,031,026,173,165,48,32,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093330,416,31,3,1,0,17,12/21/1993,M,Black,No,Yes,5,,,L,055,054,210,207,85,84,0,K,043,036,192,180,78,65,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093100,416,31,3,1,0,17,08/27/1994,M,Black,No,Yes,9,,,L,029,029,169,170,22,23,0,K,021,026,157,165,19,32,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093220,416,31,3,1,0,17,10/01/1993,F,Black,No,Yes,4,,,L,036,032,182,174,44,30,0,K,017,026,148,165,8,32,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093040,416,31,3,1,0,17,12/21/1993,F,Black,No,Yes,0,,,L,030,038,171,185,25,50,0,K,020,022,154,155,15,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1124290,416,31,3,1,0,17,09/25/1993,F,Black,No,Yes,3,,,L,028,042,168,191,21,61,0,K,022,030,159,172,22,48,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1093090,416,31,3,1,0,17,04/27/1994,F,Black,No,Yes,8,,,L,032,046,176,198,33,72,0,K,029,033,170,175,42,54,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1089790,416,31,3,1,0,17,11/24/1991,M,Black,No,Yes,1,,,L,025,032,163,174,15,30,0,K,027,033,167,175,36,54,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092650,416,31,3,1,0,17,07/29/1994,M,Black,No,Yes,0,,,L,023,037,161,182,13,44,0,K,028,027,168,167,38,37,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092150,416,31,3,1,0,17,08/05/1994,M,Black,No,Yes,1,,,L,025,042,164,191,16,61,0,K,020,024,154,159,15,21,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090060,416,32,4,0,0,27,12/24/1991,M,Black,,,4,,,L,023,030,160,172,4,12,0,K,023,027,161,167,9,15,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090530,416,32,4,0,0,27,01/04/1993,F,Black,,,3,,,L,029,033,169,175,10,15,0,K,027,024,166,159,14,7,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1089980,416,32,4,0,0,27,07/21/1992,F,Black,,,0,,,L,043,046,193,196,39,43,0,K,023,040,161,188,9,48,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090210,416,32,4,0,0,27,05/22/1993,F,Black,,,0,,,L,045,046,196,196,43,43,0,K,022,020,158,152,7,3,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090580,416,32,4,0,0,27,04/22/1993,F,Black,,,,,,L,027,023,167,156,8,1,0,K,023,024,161,159,9,7,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1092040,416,32,4,0,0,27,12/20/1991,M,Black,,,5,,,L,022,020,158,152,3,1,0,K,022,020,158,152,7,3,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090030,416,32,4,0,0,27,11/16/1991,M,Black,,,6,,,L,021,027,155,167,2,8,0,K,022,014,158,143,7,1,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090380,416,32,4,0,0,27,12/30/1992,M,Black,,,,,,L,029,020,169,152,10,1,0,K,018,026,150,162,3,10,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1089960,416,32,4,0,0,27,12/10/1992,M,Black,,,2,,,L,043,041,193,189,39,32,0,K,028,033,168,176,16,28,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090290,416,32,4,0,0,27,03/31/1993,F,Black,,,0,,,L,035,030,180,172,21,12,0,K,030,024,171,159,20,7,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1089900,416,32,4,0,0,27,04/24/1992,M,Black,,,6,,,L,025,018,163,150,6,1,0,K,017,021,147,154,1,4,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090490,416,32,4,0,0,27,03/25/1993,F,Black,,,,,,L,033,033,178,175,19,15,0,K,028,034,168,178,16,32,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090250,416,32,4,0,0,27,11/17/1993,F,Black,,,4,,,L,023,023,160,156,4,1,0,K,016,021,144,154,1,4,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1089990,416,32,4,0,0,27,02/03/1993,M,Black,,,,,,,,,,,,,,,,,,,,,
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090190,416,32,4,0,0,27,11/20/1992,F,Black,,,,,,L,031,036,173,180,14,20,0,K,030,027,171,167,20,15,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090170,416,32,4,0,0,27,10/12/1992,M,Black,,,,,,L,031,038,173,186,14,27,0,K,020,036,154,181,5,37,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090400,416,32,4,0,0,27,06/23/1993,F,Black,,,0,,,L,031,036,173,180,14,20,0,K,020,020,154,152,5,3,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090230,416,32,4,0,0,27,01/21/1993,M,Black,,,4,,,L,023,030,160,172,4,12,0,K,016,021,144,154,1,4,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1089860,416,32,4,0,0,27,10/01/1992,F,Black,,,2,,,L,016,033,146,175,1,15,0,K,022,016,158,147,7,1,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090570,416,32,4,0,0,27,10/28/1992,F,Black,,,3,,,L,072,043,231,193,87,38,0,K,060,031,217,173,85,23,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1090780,416,32,4,1,0,26,04/17/1993,F,Black,No,Yes,0,,,L,033,034,177,177,18,17,0,K,032,020,175,152,26,3,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091430,416,32,4,1,0,26,08/21/1992,M,Black,No,Yes,2,,,L,029,034,169,177,10,17,0,K,028,024,168,159,16,7,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1124300,416,32,4,1,0,26,10/23/1992,M,Black,No,Yes,2,,,L,029,038,169,186,10,27,0,K,031,038,173,184,23,42,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091150,416,32,4,1,0,26,09/17/1992,F,Black,No,Yes,5,,,L,023,027,160,167,4,8,0,K, K6,018,125,150,1,2,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091500,416,32,4,1,0,26,01/06/1993,F,Black,No,Yes,14,,,L,027,026,167,164,8,6,0,K,017,026,147,162,1,10,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1089810,416,32,4,1,0,26,04/17/1991,M,Black,No,Yes,7,,,L,051,048,204,200,56,50,0,K,035,021,180,154,34,4,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1090310,416,32,4,1,0,26,12/17/1989,F,Black,No,Yes,,,,L,016,027,144,167,1,8,0,K,027,018,166,150,14,2,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091110,416,32,4,1,0,26,07/23/1992,F,Black,No,Yes,1,,,L,025,028,163,169,6,9,0,K,020,018,154,150,5,2,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1090910,416,32,4,1,0,26,07/18/1993,F,Black,No,Yes,14,,,L,023,030,160,172,4,12,0,K,013,014,135,143,1,1,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1090740,416,32,4,1,0,26,03/18/1992,F,Black,No,Yes,15,,,L,016,027,146,167,1,8,0,K, K6,015,125,145,1,1,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091300,416,32,4,1,0,26,07/28/1993,M,Black,No,Yes,3,,,L,026,028,165,169,7,9,0,K,018,024,150,159,3,7,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091450,416,32,4,1,0,26,05/16/1993,M,Black,No,Yes,2,,,L,048,059,200,215,50,71,0,K,032,043,175,192,26,55,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091510,416,32,4,1,0,26,10/26/1992,M,Black,No,Yes,3,,,L,072,071,231,229,87,86,0,K,060,054,217,208,85,79,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091580,416,32,4,1,0,26,05/21/1992,M,Black,No,Yes,,,,,,,,,,,,,,,,,,,
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091560,416,32,4,1,0,26,12/26/1992,F,Black,No,Yes,2,,,L,021,028,155,169,2,9,0,K,028,026,168,164,16,12,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1090800,416,32,4,1,0,26,02/22/1993,F,Black,No,Yes,6,,,L,033,030,177,172,18,12,0,K,033,026,178,162,30,10,0
